Title,Details,Status,Tags,Category
DWH Databricks Integration - Audience & Goals Metrics,"[SUBMITTED ON BEHALF OF KAIZEN 75K ARR] Kaizen are using Databricks as their data lake (based on Azure) and would like to integrate with Kameleoon to use events from Databricks to target users + send exposure events from Kam to Databricks. Integration with Databricks send or retrieve data like other DWH. That'd be very important for Kaizen to centralize their operations, reporting and analysis. Its a must for the future of the Experimentation within the Organization",Complete,Squad Dev Tools,Roadmap
Error tracking,"## **Feature short Tracking errors from the engine when an element is not detected on the page, just like Appcues. --- ##",Open,Squad Dev Tools,Roadmap
Raw export - specific Goals,"Yvette Bea came back to me explaining that the customer is dissatisfied with exporting a full raw export everytime on every goal, as he does not want to work on the CSV file later on, and as he would like to be able to raw-export what he is seeing in the Results Page: potentially only a specific goal, with filters and breakdown applied (for breakdown, let's only make it available as an export per breakdown)",Open,,Roadmap
MVT Integration with New Graphic Editor,Specific version of Editor V2 for MVT Tests,Complete,,Roadmap
AI generated CSS selector,Ability to automatically generate a CSS selector based on AI. It will allow Kameleoon to better handle sites with dynamic classes.,Complete,,Roadmap
Winning condition for negative results,"Feedback from COOP : being able to define a negative result as a positive outcome :Its all about setting the positive in the goal. As an example, in Effective Experiments, we create goals and select if success is negative or positive. So I guess something like that would be a feature request for you guys.Something like when a goal is created a Kameleoon user can select the success of the goal to negative or positive. And that would determine what is shown as a winning variation with the correspondinc metrics in the top of the reporting page.I know myself what is a success or not in this case. So its not hugely important. But nice for stakeholders to see a report that tells the actual winner in the top section when a negative",Open,,Roadmap
Advanced Data Collection by SDKs,[SUBMITTED ON BEHALF OF KAIZEN BY PIERRE]Kaizen would like for the SDKs to collect as much data as possible (like we do for web experimentations) instead of having to use the addData method to log basic information about their users. This will help avoid any error/forgetting in the logging of basic data.,Open,,Roadmap
Auto-suggest tags when creating or editing flag information,"In Feature flags, in the ""Edit flag information"" pop-in, when adding a tag, it would be better to suggest the existing tags.",Planned,,Roadmap
"Filters for ""Goals"" and ""Segments"" on the FE Dashboard",Feature request regarding filters issued by our customer Mercury Financial: Having the same filters for Web Exp &amp; FF dashboards. They want to be able to filter their FF by segment and goal. Hey. I think this is very good idea!,Planned,,Roadmap
Feature Experimentation Redesign (New DS),"In Feature flags, in the ""Edit flag information"" pop-in, the list of tags should be labelled as ""Tags"" just like the description is labelled as ""Description"".",Open,,Roadmap
Homepage Dashboard,"## **Feature short This feature allows the user to land on an Homepage describing key metrics and their usages of Kameleoon Platform. A Dashboard summarising different information o their XPs, Power Users, etc ## Problem What problem are we trying to solve with this feature? Or, what is the opportunity we are addressing? We intend to solve the issue of Program Management, by helping the user navigating through their processes and experiments **Workaround:** - **Existing workaround:** No - Or, tons of pivot tables and exports ## Solution **Key benefits** : What value does this feature bring to the user? Easier overview Program management **Use Cases:** Share use cases where this feature would help our users. Use the Jobs To Be Done framework to illustrate our user's motivation and behaviour. Structure this as: When the user [situation], they want to [motivation], so they can [expected outcome]. ** Product design:** - **Product squads :** Dashboards Squad, Reporting Squad ? - **Product scope:** Product section and pages that will evolve \(if needed, define sections\/pages that will be out of scope\) - **Target Persona**: All ## **Measuring Success** - **Goal 1:** Usage - Goal 2: Retention ##",In Progress,,Roadmap
Starter Kit / Demo Application,We are exploring the addition of 'Starter Kit / Demo Application' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,In Progress,,Roadmap
Highlight of all edited / added elements,We are exploring the addition of 'Highlight of all edited / added elements' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Intermediate mode enhancement,We are exploring the addition of 'Intermediate mode enhancement' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Comment mode in GE: BETA,"Client: Coop NorgeEmail: joachim.furuseth@coop.no Need : when modifying the exp or flag (and adding specific elements), it's not possible to add comments (available for all stakeholders) to inform them about the modification (reason/date/etc.). The history panel is just about actions but not detailed enough. Using the description (only available in the web exp) doesn't really answer this need. Request: add a module that allows users to comment/write notes available for all users on an experiment/flag scope Thanks!-- Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London",Complete,,Roadmap
Moving the Data retention period option to the customer's settings,Admin Back-office - Moving the Data retention period option to the customer's settings,Complete,,Roadmap
SRM Improvements,"Based on Statsig benchmark, they offer a SRM Debug helper, in which you can see the p-value over time depending on different options",Open,,Roadmap
Amazon Redshift Integration - Use as a destination,"Provide seamless integration capabilities for 'Amazon Redshift Integration - Use as a destination', allowing users to synchronize data and streamline workflows.",Complete,Squad Dev Tools,Roadmap
Import product data from Google Merchant Center,"Enable users to perform Import product data from Google Merchant Center, improving data management and operational efficiency.",Complete,,Roadmap
Back-to-back bridges / Multi-env analytics for feature flags,Amplitude Server Event Streaming: - Amplitude event dispatcher Mixpanel Server Event Streaming: - Mixpanel Event Dispatcher Segment Server Event Streaming: - Segment Event Dispatcher GA4 Event Dispatcher: Glassbox Server Event Streaming:,Complete,,Roadmap
Scrolling Text Element,We are exploring the addition of 'Scrolling Text Element' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
New currencies,"For our client from Kazakhstan IQOS KZ (Philip Morris), we need to add the Kazakhstani Tenge() currency to the list of selectable currencies for the project, just as we have already done with the Dinar for Kuwait. For our client from Kazakhstan IQOS KZ (Philip Morris), we need to add the Tenge currency to the list of selectable currencies for the project, just as we have already done with the Dinar for Kuwait",Open,,Roadmap
Control Variant Selection,"We're enhancing the user experience for variation selection in feature experiments, ensuring users can easily define and identify the control \(reference\) and treatment variations. Key updates include: - Dedicated **Control** and **Treatment\(s\)** variation dropdown on the setup page, defaulting to ""Off"" but editable. - Help and tooltips for better guidance during setup. - Clear labeling of the Control variation on the reporting page. - Automatic hiding of unused variations in reports. - The Control variation will automatically be selected as the reference in the Custom View settings. These updates aim to improve clarity and streamline experiment creation.",Complete,,Roadmap
AI Widget Generator,AI Widget Generator - Non DnD version (PoC):,Complete,,Roadmap
Preview / Custom Templates,Preview & Edit Recommendation Blocks: Preview & Edit Recommendation Blocks: Create & Design Recommendation Blocks: Custom Template Type (POC):,Open,,Roadmap
Product Reco App Redesign,"Improve the user experience with 'Product Reco App Redesign', making it more intuitive and efficient for users to configure their campaigns.",In Progress,,Roadmap
Confidence interval display over time,In the reportings display the variance with time to help understand how your experiment is evolving (like statsig). Would help understand the novelty effect. Cf. what it looks like in statsighttps://www.statsig.com/blog/novelty-effects,Open,,Roadmap
Select Goals - Multiple duplication,"being able to duplicate an experiment (or segment / goal / Custom Data) on multiple projects altogether. For example if you want to duplicate a goal on 10 different projects, one need to duplicate 10 times. It would be handy if in the duplication modal we could multiple-select the projects on which we need to duplicate the element.",Open,,Roadmap
CUPED: Add breakdown formulas,"Pain Point: The newer evaluation methods CUPED and sequential testing cannot be used for breakdowns. The tool disables the methods automatically as soon as a breakdown is validated. There is no statistical reason why this is not possible (except: increasing the number of test with breakdowns and with this the chance to get a false positive result, but its not specific to CUPED or sequential testing)Solution: enable all evaluation methods for breakdowns too. Workaround: The filter option can be used as an alternative. However this only allows you to view one specific value and not several values, which is the strength of the breakdown.",Open,,Roadmap
Sequential Testing : Add breakdown formulas,"Pain Point: The newer evaluation methods CUPED and sequential testing cannot be used for breakdowns. The tool disables the methods automatically as soon as a breakdown is validated. There is no statistical reason why this is not possible (except: increasing the number of test with breakdowns and with this the chance to get a false positive result, but its not specific to CUPED or sequential testing)Solution: enable all evaluation methods for breakdowns too. Workaround: The filter option can be used as an alternative. However this only allows you to view one specific value and not several values, which is the strength of the breakdown.",Open,,Roadmap
Results Page BI,"Some requests to allow Data queries and extra graphs within the RP ""We would like to use the Kameleoon Dashboard more intensively. Currently we're only exporting the data, and analyze it in Excel. A view changes in your dashboard it could help us immensively: - Dynamic processing of test results in the tool itself \(test dashboard\) - Other visualization preferred, this is not something you could pass on without editing - If you could convert the results of a goal into a bar chart or pie chart and enter whether it is significant and a winner directly in the tool -\> this would help us to make the process of the conclusion easier and faster"" My clients submitted an idea regarding the result page: We would like to use the Kameleoon Dashboard more intensively. Currently we're only exporting the data, and analyze it in Excel. A view changes in your dashboard it could help us immensively:- Dynamic processing of test results in the tool itself (test dashboard)- Other visualization preferred, this is not something you could pass on without editing- If you could convert the results of a goal into a bar chart or pie chart and enter whether it is significant and a winner directly in the tool-&gt; this would help us to make the process of the conclusion easier and faster",Open,,Roadmap
Report with Variant Display & Performance,"Create a report with display of the variants, performance of the variants etc. That would be a nice way to share the results across the company. VWO offers this - check it out.",Open,,Roadmap
Quantum Metric Integration,Regular analytics integration. - Quantum Metric Integration,Complete,Squad Dev Tools,Roadmap
Segment.io Event Streaming to automatically do the cross-device reconciliation,"## **Feature short When events are received, user the user ID provided in the event to do the data API for cross-device reconciliation with the visitorCode. Discussed w\/ Fred and Yassin on August 13th 2024. --- ##",Open,Squad Dev Tools,Roadmap
A 'focus/selected' state to a button,"In the widget editor, we would like to be able to add a state similar to the css method :focus on a button : apply a style when it's selected different than the active and inactive styles Having all possible state would be amazing (that are optional to configure)",Open,,Roadmap
More options to the Translation event,"Widget Studio Pro --&gt; Events --&gt; Translations --&gt; add based on ""part of URL/ match regEx etc."" or ""customer data: language"" etc. change the translation used in the widgetExample:https://de.triumph.com/ --&gt; Germanyhttps://fr.triumph.com/ --&gt; Francehttps://ch.triumph.com/ --&gt; Swiss-Germanhttps://ch.triumph.com/fr --&gt; Swiss-French Important to define rules for the translation",Open,,Roadmap
Automatically create tracking for clickable elements,"Pain Point: As a user, I would like to add goal tracking to some clickable elements of my widget. To do this, I first have to create a goal, assign an action &amp; event to the element and store the goal ID there. This process takes several minutes and always runs identically. However this stupid process is sensitive to mistakes if repeated several times. Solution: As this is always the same process, automation would be conceivable. An example implementation would be a checkbox or an intermediate pop-up (which appears directly after adding the element), which asks for the creation of a goal tracking. Role Model: the automatic close event of element X clickable elements will always need tracking anyway, might as well make it automatic. nice to have great idea",Open,,Roadmap
CD & Breakdown : alignment,"Client: Elsan (POC) Client email : kevin.perriat@elsan.care When using a Custom Data (number) for creating a segment, you can choose between : &gt; to or &lt; to or equal to or is in a range,... But when filtering the results, you have to choose a specific value : It would be great to have the same option for both-- Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London",Open,,Roadmap
Aggregated export improvements,"Add variation IDs in aggregated exports, next to the name of the variation.",Open,,Roadmap
Using widget HTML template,We are exploring the addition of 'Using widget HTML template' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Reference CSS Selector enhancements,We are exploring the addition of 'Reference CSS Selector enhancements' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
<picture> tag support,additional to picture for visual editor:https://project.kameleoon.net/issues/14768andhttps://project.kameleoon.net/issues/7364,Complete,,Roadmap
Custom data support in the text editor,"Improve the user experience with 'Custom data support in the text editor', making it more intuitive and efficient for users to configure their campaigns.",Complete,,Roadmap
Onboarding flow for Graphic Editor,"Improve the user experience with 'Onboarding flow for Graphic Editor', making it more intuitive and efficient for users to configure their campaigns.",Complete,,Roadmap
Users - Add filter and sort for last login,## **Feature short Being able to filter and sort the last login on the list of users. --- ##,Open,Squad Dev Tools,Roadmap
Users - Export list of users after applying filters,## **Feature short Being able to export list of users after applying filters. --- ##,Open,Squad Dev Tools,Roadmap
Tableau Integration,"The request came from several customersEvery company has different management requirements in the area of reporting and it is time-consuming to export data, clean up and visualize again. Solution: It would be good to have an interface to external reporting tools/ tracking systems, e.g. Tableau (directly in the tool) to aggregate the data differently.",Open,Squad Dev Tools,Roadmap
JS / CSS Feature Variable,"**Overview:** This feature allows users to set JavaScript \(JS\) and CSS code directly in feature experiments, enhancing flexibility and control in experimentation. By introducing two new variable types \(JS and CSS\) in the UI, users can comfortably input custom code. **Key Benefits:** - Seamlessly integrates JS\/CSS into the Kameleoon engine for enhanced customization. - Easy-to-use UI with adjustable text boxes for writing code. - Backend and SDK support ensures smooth experiment updates and tracking. Ideal for customers seeking to apply custom code directly in their feature experiments.",Complete,,Roadmap
FE Compatibility - Audiences Explorer,We are exploring the addition of 'FE Compatibility - Audiences Explorer' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
AI generated variation,We are exploring the addition of 'AI generated variation' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Planned,,Roadmap
Send raw data to BigQuery,"## **Feature short Enhance the DWH connector to send additional raw campaign data to Google BigQuery. Currently, only basic data such as nonce, visitor\_code, custom\_visitor\_id, timestamp, experiment\_id, and variation\_id are exported. Expanding the data set to include goals, device type, OS, browser, timezone, referrer URL, landing page, country, and duration will provide more comprehensive insights for analysis and reporting. --- ##",Open,Squad Dev Tools,Roadmap
How to classify cookie with no CMP,"## **Feature short Some customers need to classify every cookie for their cookies\/consent policies, but without specific guidelines in the documentation, they have classified Kameleoon cookies as ""statistics."" It would be helpful to include clear instructions in the documentation on how clients who dont use a CMP \(Consent Management Platform\) should classify Kameleoon cookies. --- ##",Open,,Roadmap
Ratio metrics in new RP,"Asked by Loblaws --\> Also includes reliability computation for said metric A metric is computed from one or more goal. We would like to have calculations in the results dashboard that outweigh an increase in conversions vs. a decrease in AOV (or vice versa). Is it possible to create goals derived from other goals? Here is an example of a goal we currently use:The conversion rate here is the [Number of converted visits]/[Number of visits] Like a funnel, I would now like to see what % of the [Number of converted visits] from this goal, go on to complete the next goal. Customer wants to be able to define his own conversion rate in the reporting page by reverse ratios for exemple. Customer feedback: https://kameleoon.productboard.com/all-notes/notes/37179939 To easily calculate AOV / RPV",Under Review,,Roadmap
Native Goals Improvements,"I'd like to create a click tracking via the Back-office (without using the graphic editor) on an element that does not have the same selector on mobile &amp; desktop.Impossible to select the element in the mobile version after having selected the element on desktop. when creating a native click tracking goal, we are loading the iframe of the website which is blocked most of the time &gt; add a message indicating to whitelist Kameleoon so the iframe can appear there. Customers always have the feeling that the feature is not working. Option B : Get rid of the iframe Je veux pouvoir créer des goals type click tracking mais paramétrer leur conversion uniquement sur un URL dédié sans avoir à passer du code Make it easy to create a click tracking goal that triggers only on a specific URL :) Ability to create (natively) page access goals based on css selectors rather than urls good idea need better solution for goals",Planned,,Roadmap
Barrier-free accessibility,"Pain Point: From mid-2025, websites and apps will be legally required to be barrier-free. This is regulated by the Barrier-Free Accessibility Strengthening Act (BFSG). The Barrierefreiheitsstärkungsgesetz (BFSG) implements the EU directive of the European Accessibility Act (EAA) so that standardised rules on accessibility apply throughout Europe. The regulations are based on the European standard EN 301 549, which in turn is largely based on the international guidelines for accessible web content (WCAG). e.g. sufficient contrast between foreground and background colour, links and buttons operable via the keyboard, screen reader compatibility of a website, etc. Even if the website offers this accessibility on its live site, there is still a risk that the variant of an experiment or personalisation will not fulfil it. Such a design can have legal consequences and penalties. Solution: There are various features in Kameleoon that check for accessibility when changes are made. The contrast check of colours in new editors is a first step and a good example of this. The customer wants more AI in the Graphic Editor. There is currently support for the barrier-free accessibility of headings, for example. One suggestion is that the AI should support where it is best to place the element. A possible suggestion is that the place where the element is best placed is highlighted in color. great differentiators with enterprise groups.",Open,,Roadmap
Graphic Editor Localization,"Pain Point The customer needs an experiment in 4 languages, so he has to build an experiment with 4 times. Currently Kameleoon can only translate widgets. Solution One possible idea would be to have a similar function in the Graphic Editor as in the Widget Studio so that experiments can be translated For multilingual sites, would it be possible to add a translation processing module via the graphics editor? In the same way as in the Studio widget, when a selector including text is selected, have a Translation tab available that can be filled in if there are several languages managed on the site. Then, there will be targeting depending on whether you're in /en or /fr or whatever, as usual, but with the option of generating a dynamic translation. For french users, even enterprise it is a pain for them to be in english",Open,,Roadmap
Advent Calendar Element,"Haribo would like to have templates ""Calendrier de l'avent"" available in the studio widget (like a window that opens with the option of customising what's inside the window for instance... )",Open,,Roadmap
Scrolling Text Banner Templates,Petit Bateau &amp; Hariboa sked me if it was possible to have banner template in the Widget studio with the scrolling text option Have banner template in the Widget studio with the scrolling text option,Open,,Roadmap
Piñata Widget,Haribo wanted to be able to create a customisable piñata animation on its website using the studio widget. Example : https://www.socialshaker.com/campagnes-marketing/,Open,,Roadmap
Paste Text Without Formatting,Hello It will be nice to be able to paste a text without formating for easier edition otherwise the code is kept.,Open,,Roadmap
Screen Positioning on the Page,"Client: Coop Email: joachim.furuseth@coop.noUse case (coop) : Add a block within a product page (built with Widget studio)On click on this second block, open a second widget (popin)The behaviour between the two blocks need to be developed and there is no native option. Also, we had to use JS/CSS export so we could change the behaviour of the 2nd widget and we had to add some CSS (for the display).Possible feature : add an event that would take into accoun the display above/within the page directly into the widget studio such as on click on the button screen 1 &gt; display screen 2 above the page (or vice versa)I'm available if you need some more inputs :)-- Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London Ability to insert several widgets in the graphic editor. I have a widget with 2 different screens but I can't change the position for all of them. Having the possibility to insert 2 widgets will save this issue, one will replace an existing element and the other will be above the page.",Open,,Roadmap
Position Element by Language Version,"When using the translation feature in the widget studio, it would be nice to be able to move an element (image, html, block...) differently according to the language version. For example, on the french widget, I want an image to be placed at X = 20px and on the english version, I want to place it at X = 50px. Would be nice since the language can impact the length of a text the size of the text may vary depending on the length used",Open,,Roadmap
Change z-index of the widgets,"Using the Widget Editor, is it possible to allow users to change the z-index of an element directly on the Graphic Editor settings / Widget Editor settings? It will be useful to have that option without using the code editor (the change have to be done manually and for all the devices). To be more specific, the use case was to add a countdown banner inside the page, on the top of the website. But there was a display conflict between the drop-down menu and the banner. When hovering the drop-down menu, the categories are hidden by the banner. Super important when inserting elements in sticky banner or other elements that could interfere with menu Setting the z-index directly in the interface is essential, if not mandatory, to ensure that teams can easily integrate new elements on the site without breaking layouts or disrupting the stacking order of various elements. needed on some client",Under Review,,Roadmap
AI OD improvements,"Request is coming von Ernstings Family and is related to AI Opportunity Detection. The client would suggest, that we implement a checkbox in the segment builder if we want to add this segment to the AI Opportunity Detection (similar as it is currently for the Audience). Only the segments, which have the activated checkbox will be analyzed for the AI Opportunity Detection and there wont be a need of using them within the last 90 days. Therefore we could reduce the risk, that we detect a random experiment specific targeting segment or that we don't find a Opportunity just because the client hasn't used this segment in the last 90 days. -&gt; Also other clients (e.g. Douglas) have reported this issue",Open,,Roadmap
Improve capping on Personalisation,"Pain Points: The capping option ""Stop personalization when the total number of exposed visitors exceeds a threshold equal to ???? visitors"" works very unexpected. If the customer enters a predefined number of visitors here, then he expects exactly this number of visitors on the result page. However this is currently technically almost impossible, as there are the following inaccuracies: the capping check runs X hours or minutes. So there is a period of time in which the visitor limit has already been exceeded, but the next check has not yet been performed. After the start, there is a minimum period of 30 minutes until the first visit is completed. The stop takes place on the basis of this data, i.e. this causes a further time delay. The script is of course always subject caching. Solution: Perhaps the check can be run more frequently and the data analysis can be based on the new real time data.",Open,,Roadmap
Shortcuts in RP,"Feedback from Vincent Taldir: Add some relevant shortcuts from the Results page Ex: Pressing ESC shortly after creating a filter could delete it Add Tabbing in dropdowns, in the page, etc",Open,,Roadmap
"Establish a Scalable, End-to-End Process for Managing Technology Partners and Integrations","Develop and document a standardized process for onboarding new technology partners: Create a comprehensive integration checklist to ensure consistency across all partner integrations: Establish a centralized partner relationship management system, capturing key metrics and statuses: Conduct quarterly reviews of all technology integrations, identifying and resolving issues:",Complete,,Roadmap
Custom integrations for goal completion,"We currently have GA4, Segment and Mixpanel integrations that enable to send conversion event when a kameleoon goal is triggered. We would like to offer custom integrations for goals completion. Then we can track which integration is used the most to prioritised and offer native integration.",Open,,Roadmap
POC: Import Custom Fonts via @import,"Widget studio : Make the widget compatible with HTML as well as allow imports of google fonts and not just font file types.Makes it easy for clients with animated widgets or with creative widgets Widget studio Being able to import Google Font + being able to use @import font in the CSS A very nice feature that would make sure that fonts are no issue, and that the widget loads the content + fonts from the same server (from Kameleoon's server).",Complete,,Roadmap
Click Event on Disabled Elements,"Add hover action on widget studio.-&gt; on hover on disabled validate button show a tooltipclick action on disabled elements-&gt; on click on disabled validate button show an error messageBe able to add CSS to a state ""enabled"" ""disabled"" example:cursor: not-allowed; (currently CSS applies to all states) A validate button that triggers a warning would be nice!",Open,,Roadmap
Custom CSS Based on Elements' State,"Add hover action on widget studio.-&gt; on hover on disabled validate button show a tooltipclick action on disabled elements-&gt; on click on disabled validate button show an error messageBe able to add CSS to a state ""enabled"" ""disabled"" example:cursor: not-allowed; (currently CSS applies to all states) Sometimes you want to change only some elements or media queries",Open,,Roadmap
CSV of Events Integration for Goal Metrics,"Provide seamless integration capabilities for 'CSV of Events Integration for Goal Metrics', allowing users to synchronize data and streamline workflows.",Open,,Roadmap
Open Link in the Same Tab,We are exploring the addition of 'Open Link in the Same Tab' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Product Recommendation: Import Order,"Enable users to perform Product Recommendation: Import Order, improving data management and operational efficiency.",Complete,,Roadmap
Custom Cohorts Library,Develop and support the 'Custom Cohorts Library' to enable developers to easily implement experiments and feature flags.,Open,,Roadmap
Contextual bandit (Web Exp),"Personalization experiences with multiple variations. Currently it looks like Personalizations are created based on individual segments or AI automated based on probability to convert on a goal. We have use cases where we would ideally create a personalization experience with multiple variations, all with a similar segment. That is increasingly difficult if each variation of the same personalization is a separate line item in the personalization menu. Example use case:We want to automate a personalization experience where we have 6 different variations of a line of copy on the bag (cart) page of the site. Each variation would be converting on the same goal, however it would automatically allocate users to the correct personalized variation based on AI or ML driven calculations. All of that managed in the same personalization experience. Essential to help us manage campaigns or AB tests",Complete,,Roadmap
Metric-based Outlier filtering,"We implemented Outlier Detection with Winsorization, using the revenue value fo filter out some data points we could do the same but by analysing the number of visits\/conversions of some users to filter them would be great for quantity per item, items per order, which don't include revenue In our day-to-day experimentation revenue is for sure the biggest usecase for outliers. But could also be nice as a way to ensure accuracy on other event-based goals as well. Client : Sandvikemail: patrik.matell_c@sandvik.comNeed: be able to apply outliers to goals even if it's not related to revenueThanks-- Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London Our busniess operates in a context with some really massive customers, causeing many non-binary metrics to be unrealiable and frequent spikes when looking at graphs We have some distributors on our site. They tend to send huge orders for lots of customers and therefore skews the data Really interesting for us to get the highest quality and insights possible! This is super-important to us, as this could increase our quality even further when it comes to user insights it's very needed for many of our metrics such as add to cart and save to list when slicing on all conversions level Otherwise some experiments will be destroyed The significant variation in our customers' sizes necessitates outlier handling for more aspects than just revenue. The new feature enhances outlier detection by analyzing unusual patterns in various metrics, such as extreme user behaviors. This automatic filtering of atypical data ensures more reliable and actionable test insights. Wed like to highlight an urgent need for Metric-based Outlier Filtering in Kameleoon.Currently, the Winsorization approach handles revenue data, but we increasingly see outlier behavior in other metrics particularly users with unusually high frequencies of add to cart or purchase events. These extreme patterns distort test results and reduce trust in the statistical validity of our A/B insights.If this isnt addressed within Kameleoon, well be forced to build a custom pre-filtering process to remove such users before running tests which would compromise statistical integrity and duplicate functionality that ideally belongs in the platform.A more comprehensive outlier filtering mechanism, considering behavioral metrics as well, would greatly improve the reliability and confidence in our experimentation results.Best regards,Peter",Open,,Roadmap
Run JS Based on a Form Element's Value,add the JS action when a Form event is added to a widget,Open,,Roadmap
Goal conversion - Live events,We are exploring the addition of 'Goal conversion - Live events' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Holdouts for Web exp (using tags),Engine - add holdout feature,Complete,,Roadmap
Mutually Exclusive Groups for Web exp (using tags),"Engine - Mutually Exclusive Client: Coop NorgeClient email: joachim.furuseth@coop.no The client would like to create three experiments running on the same page with the same targeting but would like to exclude the users from the exp from the other ones, such as : Change on PDP (button)Change on PDP (product description)Change on PDP (add a reassurance block) Greg's feedback: it's possible with the current ""exclude campaign"" but it won't work during the first visit as the targeting is the same and we won't detect if the user has been targeted by another experiment (as it's the first visit). The workaround would be to create an MVT. Additional issue: it works only if there is some traffic excluded on the first campaign(s)Need: create campaigns that are exclusive from the first visit; ease the flow when creating mutually exclusive campaigns Additional need: Enable mutually exclusive experiments by dispatching new users between the experiments' running.Possible solution (client's idea): on the finalizing panel, select an option Mutually Exclusive = Yes. Then the system asks, What experiment should it be Exclusive to?. Then Kameleoon user selects the experiment(s), then the system suggests/says, By applying this you will reduce the target audience to cover only xx percent in this experiment, and the experiments selected to it should be exclusive to -- Marie LemaireCustomer Success Manager SeniorTel. +33 6 76 78 26 58www.kameleoon.com1251 Ave. of the Americas10020 New York",Complete,,Roadmap
Simulation Capabilities for FE,We are exploring the addition of 'Simulation Capabilities for FE' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Holdouts for FE,"Specs: The new ""holdout flags"" feature provides centralized exclusion group control across feature flags within a project. When creating a flag, users can mark it as a holdout, which adds a dedicated experiment rule to manage exclusions across other flags. Holdout flags have project-wide visibility and can be edited in one place, with changes updating instantly across all linked flags. A unique icon highlights holdouts on the dashboard, and unused holdouts trigger archiving suggestions to keep setups efficient. These enhancements streamline exclusion management, ensuring consistency and reducing redundancy in experiment setups.",Complete,,Roadmap
Mutually Exclusive Groups (MEGs) for Feature Experimentation,We are exploring the addition of 'Mutually Exclusive Groups (MEGs) for Feature Experimentation' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Filter by conditions on the segment Dashboard,"Hi, I would be great to be able to filter the segment list by the criteria used. This can be pretty useful for CSMs to see what criteria the customer is using most. Super useful to clean segments or to identify a problem",Open,,Roadmap
Enhance links translation,We are exploring the addition of 'Enhance links translation' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Image Library Pop-Up,Develop and support the 'Image Library Pop-Up' to enable developers to easily implement experiments and feature flags.,Complete,,Roadmap
Infinity Integration,"Provide seamless integration capabilities for 'Infinity Integration', allowing users to synchronize data and streamline workflows.",Open,,Roadmap
Label elements as 'copy' in a duplicated screen,"When a screen is duplicated on the Widget Editor, it would be interesting if the various elements of the duplicated screen were preceded by the words Duplicated. In order to manage events more easily (if the client doesn't want to rename each element).A bit like when an element of a screen is duplicated in the same screen or in another screen.Customer feedback: Cargo",Open,,Roadmap
Snowplow Event Dispatcher Native Activation,"Currently we don't allow to configure FF event dispatcher on specific environment like Amplitude, Segment & Mixpanel.",Open,,Roadmap
Census Integration,"Client: ""Our data warehouse is in Census. You might have heard of the tool. It would be interesting if Kameleoon could explore an automated integration with them.""",Open,,Roadmap
Notification center,"Having access to the in app notification even when you close the pop-in.In some instances, client reports that they close the pop-in because they need to to something and don't have time to read the notification. They would love to have access to those messages later on. would be nice to display alerts (opport detection) or info Nice to follow team works",Open,,Roadmap
New Predictive conditions in Segment builder,Would be great to work with our CDP,Open,,Roadmap
Kameleoon Beta Program,"## **Feature short Allow customers to opt-in\/out of beta feature releases As a **Kameleoon customer**, I want the ability to opt-in or opt-out of beta feature releases, so that I can control when new features are activated for my account and only use features that are considered stable. --- ##",Complete,,Roadmap
Preview variation changes on dashboard,For clients that have bad name management for campaign. Having the ability to put a screenshot for a variation would be super useful All said in the description,Open,,Roadmap
